Id,Label,ns:computer.programming_language.introduced
ns:g.122kcq0m,Baltie,
ns:g.122x30ld,DMDScript,
ns:m.0100pwgw,Hack,2014
ns:m.010134,BETA,
ns:m.01025wcw,LotusScript,
ns:m.010f6pwn,Premise,
ns:m.010p5v53,Boxer,
ns:m.010pkn7n,DScript,
ns:m.010py,Atlas Autocode,
ns:m.010rdrn4,Swift,2007
ns:m.010sd4y3,Swift,2014
ns:m.010vvkkj,TML,
ns:m.01159vfc,Lean,
ns:m.011jpc,ATOLL,
ns:m.011jqv,BUGSYS,
ns:m.011jv1,Z++,
ns:m.011k7v,CORC,
ns:m.011k8l,JOSS,1964
ns:m.011sq2h3,PL-6,
ns:m.011v7w1m,X#,2009
ns:m.011x18wn,,
ns:m.012c64,GRASS,
ns:m.012gr,AMOS,1990
ns:m.012ryn,Unlambda,
ns:m.012s37,Rapira,
ns:m.012whz,ABC,
ns:m.0135sm__,Extempore,2011
ns:m.0137z3,Microsoft BASIC,
ns:m.0139bn,Csound,
ns:m.014254,Turbo Basic,1987
ns:m.0146x,ANSI C,
ns:m.015glf,Clean,1987
ns:m.015hl_,ACL2,
ns:m.015tjh,Cascading Style Sheets,1996-12-17
ns:m.0172dd,XLISP,
ns:m.017pvt,Yorick,1996
ns:m.017v2d,Visual FoxPro,
ns:m.019p2,BASIC,1964
ns:m.019syg,ECMAScript,1997
ns:m.019wx,BCPL,1966
ns:m.01_1zc,Component Pascal,1997
ns:m.01b5hv,Common Lisp Object System,
ns:m.01b5k,Brainfuck,1993
ns:m.01b6d9,Macaulay computer algebra system,
ns:m.01bdgp,Texvc,
ns:m.01bxbv,SimPy,
ns:m.01c2ld,COMAL,1973
ns:m.01c9l2,ISPF,
ns:m.01cf8d,Interpress,
ns:m.01cqg1,MATH-MATIC,
ns:m.01d2vj,Whitespace,
ns:m.01dpgv,Visual Basic .NET,2001
ns:m.01fgwp,x86 assembly language,
ns:m.01fk4,B,1969
ns:m.01fln6,Gambas,1999
ns:m.01frhh,AMPLE,
ns:m.01grf1,JOVIAL,1960
ns:m.01h67x,Inform,2006
ns:m.01hxzg,ISWIM,1966
ns:m.01j9gq,Limbo,1995
ns:m.01jfmj,AspectJ,
ns:m.01jh8h,Malbolge,1998
ns:m.01jm0,Blitz BASIC,2004
ns:m.01jpx_,LotusScript,1993
ns:m.01jt82,F#,2002
ns:m.01jx_j,Bywater BASIC,
ns:m.01k159,Modula-3,
ns:m.01k8xl,Revolution,
ns:m.01kbt7,D,1999
ns:m.01kn9l,Clipper,1985
ns:m.01ksbf,Communicating sequential processes,
ns:m.01kv_h,Web Ontology Language,
ns:m.01l121,Nosica,
ns:m.01lhrk,IBM Informix-4GL,
ns:m.01m1y8,Oz,1991
ns:m.01n3qp,JScript,1996
ns:m.01nkh5,HAL/S,
ns:m.01nxv3,ABAP,1983
ns:m.01p6ck,wxWidgets,
ns:m.01p8vv,Slate programming language,2003
ns:m.01q7b0,MetaPost,
ns:m.01qplz,SPARK,
ns:m.01qyn4,Parrot assembly language,
ns:m.01r2dg,Nice,
ns:m.01r6k0,Transact-SQL,
ns:m.01s0p2,Curry,
ns:m.01s432,Information Processing Language,1956
ns:m.01s_63,XQuery,2007
ns:m.01szng,PL/C,
ns:m.01t5mj,mIRC scripting language,1995
ns:m.01t6b,C,1972
ns:m.01t8hq,Q,
ns:m.01t9v4k,en/fr,
ns:m.01tlw,Common Lisp,
ns:m.01vtm2,Io,2002
ns:m.01xc3x,Lexico,
ns:m.01xrt9x,ISO,
ns:m.01xrtb3,PIM4,
ns:m.01xrtb_,Cedar,
ns:m.01xrtbb,PIM3,
ns:m.01xrtbk,PIM2,
ns:m.01xrtj2,FORTRAN II,
ns:m.01xrtj9,FORTRAN III,
ns:m.01xrtjj,FORTRAN IV,
ns:m.01xrtjr,FORTRAN 66,
ns:m.01xrtjz,FORTRAN 77,
ns:m.01xrtk5,FORTRAN 90,
ns:m.01xrtkd,FORTRAN 95,
ns:m.01xrtkm,Fortran 2003,
ns:m.01xrtkv,Fortran 2008,
ns:m.01xrtm_,PL/8,
ns:m.01xrtmd,EPL,
ns:m.01xrtr3,COBOL 2002,
ns:m.01xrtrb,COBOL-85,
ns:m.01xrtrk,COBOL-74,
ns:m.01xrtrs,COBOL-68,
ns:m.01xxttx,Smalltalk-80,
ns:m.01xxtv3,Smalltalk-72,
ns:m.01xxtvb,Smalltalk-71,
ns:m.01xxtvq,Smalltalk-76,
ns:m.01ydnt,Formula language,
ns:m.01ytpb,SuperCollider,
ns:m.01yv1f,ZZT-oop,
ns:m.01z1nj,Embarcadero Delphi,
ns:m.01z5j9,Programming Language for Business,
ns:m.01zfs7,TRAC,
ns:m.01zl2k,Interlisp,
ns:m.01zpg,COBOL,1959
ns:m.01zzd8,S-Lang,1992
ns:m.0212jm,R,1993
ns:m.0219cp,BuildProfessional,
ns:m.021c1x,Pico,
ns:m.021jh7,Scsh,
ns:m.021plb,NumPy,
ns:m.021v2,Common Language Infrastructure,
ns:m.021ys86,SKED,
ns:m.0220x4q,mjt,
ns:m.02214px,Forth-79,
ns:m.02214q3,Forth-83,
ns:m.0222b,Coral 66,1964
ns:m.022hz1,SPITBOL compiler,
ns:m.022l10,Cg,
ns:m.022l8q,Ratfor,
ns:m.022l9v,BLISS,1970
ns:m.022lb4,Jython,
ns:m.022rw9,Job Control Language,
ns:m.022rz1,CICS,
ns:m.022s20,CLIST,
ns:m.023k72,CLIPS,1985
ns:m.023whs,Model-driven architecture,
ns:m.02471,CLU,1974
ns:m.024dft,Escapade,
ns:m.024txs,Object Constraint Language,
ns:m.024v8,Cyclone,
ns:m.02544s,IBM RPG II,
ns:m.0256nby,Interlisp,
ns:m.025_bvc,CITRAN,
ns:m.025s0nn,Arc,2008
ns:m.025s4vp,Quantum programming,
ns:m.025s6lq,Specification and Description Language,
ns:m.025tfvw,CA-Telon,
ns:m.025tvjt,Mouse,
ns:m.025y7x2,Gibiane,
ns:m.0260ysc,NIL,
ns:m.0260znl,EusLisp Robot Programming Language,
ns:m.02610w2,FoxPro,
ns:m.0261ddc,Kermeta,
ns:m.026221b,Concurrent Euclid,1980
ns:m.0262dkz,Flapjax,
ns:m.0262fps,S-1 Lisp,
ns:m.0267bm6,Modula-2+,
ns:m.0268yl,J#,2002
ns:m.026_3pk,Flow Java,
ns:m.026b1z7,Tefkat,
ns:m.026c660,Ox programming language,
ns:m.026d5hv,Logtalk,1998
ns:m.026d9_y,Turing+,1987
ns:m.026frqx,Strand,
ns:m.026gpxr,Object Definition Language,
ns:m.026k1bx,MARK IV,
ns:m.026k4ty,MAPPER,
ns:m.026kqj,Action Code Script,
ns:m.026krmt,Business application language,
ns:m.026pbz8,CFScript,
ns:m.026xgmc,Keykit,
ns:m.026yxgb,WinDev,
ns:m.026zd29,Nord Programming Language,
ns:m.0270f0,A++,2001
ns:m.0272tx2,VistaSmalltalk,2006
ns:m.0273jqp,PC-LISP,
ns:m.0273yv,Educational programming language,
ns:m.0274pcf,Genshi,
ns:m.0275kj0,Spin,
ns:m.0277_d,ARS++,
ns:m.0277n7b,Pawn,1998
ns:m.027_5x7,SCAR,
ns:m.027bt7p,ECL programming language,
ns:m.027d4dd,Eltron Programming Language,
ns:m.027dwmw,Structured Audio Orchestra Language,
ns:m.027fhy7,Kite,2006
ns:m.027hvyd,Inform version history,
ns:m.027jr45,SA-C,
ns:m.027qlt7,WAML,
ns:m.027rgms,A Graphics Language,
ns:m.027sj6,IBM i Control Language,
ns:m.027tq7k,Gofer,
ns:m.027xjf4,SenseTalk,
ns:m.027y3_j,Blueprint,2007
ns:m.0280lrj,Distributed Application Specification Language,
ns:m.0280z9m,M2M,
ns:m.02813px,Assertion definition language,
ns:m.028167f,Scratch,2006
ns:m.0282msx,NetRexx,1996
ns:m.0284mk,Z programming language,
ns:m.0288d1q,CMS EXEC,
ns:m.0288d5v,EXEC 2,
ns:m.028b0tb,ARC Macro Language,
ns:m.028bwlw,Quark Framework,2004
ns:m.028by64,CyberQuery,
ns:m.028d2c,BlooP and FlooP,
ns:m.028d3s,colorForth,
ns:m.028d90,Chef,
ns:m.028dzm,FALSE,
ns:m.028p7g,S2,1999
ns:m.029b59,Visual DataFlex,
ns:m.029rvn,Oberon-2,1991
ns:m.02_6bj,bc,
ns:m.02_94,Fortran,1957-04
ns:m.02_cw3,TI BASIC,1981
ns:m.02_nh6,Frink,2001
ns:m.02_qnn,ASP.NET,
ns:m.02b6np,Data definition language,
ns:m.02bv6w,Datapoint's Advanced Systems Language,
ns:m.02bwsf,CHAIN,
ns:m.02cv24,QBasic,1991
ns:m.02dxbh,Subset-equational language,
ns:m.02f1mc,OPS5,
ns:m.02f70,Dylan,1992
ns:m.02f85v,Shorthand Language,
ns:m.02f_d6,JSyn,
ns:m.02f_gq,Hierarchical Music Specification Language,
ns:m.02f_lf,Synthesis Toolkit,
ns:m.02f_mx,PeRColate,
ns:m.02fd5t,ChucK,2003
ns:m.02fj51,Real-time Cmix,
ns:m.02fj94,MUSIC-N,
ns:m.02fjxl,MINC,
ns:m.02fjyr,DEC Text Processing Utility,
ns:m.02flr5,Pure Data,1996
ns:m.02fpnx,SAIL,
ns:m.02g746,S/SL programming language,
ns:m.02g7b5,SR,
ns:m.02h0jd,Lingo,
ns:m.02h31b,Nemerle,2003
ns:m.02h3zxb,C*,
ns:m.02j2p7,Joule,1996
ns:m.02jn_m,PL-11,
ns:m.02jnml,PL/0,
ns:m.02jnyh,Draco,
ns:m.02js86,Groovy,2003
ns:m.02jt1_,Clarion,
ns:m.02jxfs,Pizza,1997
ns:m.02jy2q,Generic Java,
ns:m.02k1jt,CorbaScript,
ns:m.02k681,IDL,1977
ns:m.02k6kx,RPL,1984
ns:m.02kcd1,Template Haskell,
ns:m.02kmb8,Dartmouth BASIC,1964
ns:m.02ky6z,ActionScript,1998
ns:m.02l3jl,Prograph,1983
ns:m.02ldnl,Lasso,
ns:m.02lk8v,KM,
ns:m.02lvpc,Cecil,
ns:m.02m590,SabreTalk,
ns:m.02m_jv,MUF,
ns:m.02m_kj,Message Parsing Interpreter,
ns:m.02mb5k,DIGITAL Command Language,
ns:m.02mm3,Erlang,1986
ns:m.02mml,Euphoria,1993
ns:m.02ncj8,PL/M,
ns:m.02nj7n,Superx++,
ns:m.02npry,Processing,2001
ns:m.02nrpm3,Starlogo TNG,
ns:m.02ntyn_,Syp Script,
ns:m.02nz9y,Mocklisp,
ns:m.02p426,XOTcl,2000
ns:m.02p44m9,Obol,
ns:m.02p657k,Quartz Composer,
ns:m.02p6w,Eiffel,1986
ns:m.02p97,JavaScript,1995
ns:m.02p_hks,Omega,
ns:m.02pgyy3,BCompile,
ns:m.02pj9ds,MillScript,
ns:m.02pl6q6,Emios,
ns:m.02pll4f,PROGOL,
ns:m.02plr7q,QtScript,
ns:m.02pm0j2,The Green Object Oriented Language,
